Name,Worth,Age,Country,Self Made,Dropped Out,Bachelors Degree,Masters Degree,MBA1,phd,professional_degree,Other Degrees,Joining Year,No Of Times On List,No Of Times Left,No Of Comebacks,Longest Time Away,Sector,Gender1,Detail1,Detail2,Number Of Degress,Presence On List,Continent/Region,last_year_on_list,last_off_list,founding_year,relation,Cluster,Age at start
Gary Michelson,1.7,68,United States,Y,N,Y,N,N,Y,Y,N,2007,11,0,0,0,Health care,male,"medical patents, Self Made","Bachelor of Arts / Science, Temple University; Medical Doctor, Hahnemann Medical College",2,1,North America,2017,,1949,,The Consistent,
Timothy Boyle,1.7,67,United States,Y,N,Y,N,N,N,N,N,2007,5,1,1,6,Retail,male,"Columbia Sportswear, Self Made","Bachelor of Arts / Science, University of Oregon",1,0.45,North America,2017,2008,1938,Relation,The Hustler,
Thaksin Shinawatra,1.7,67,Thailand,Y,N,N,Y,N,N,N,N,2013,5,0,0,0,Investments,male,"investments, Self Made","Master of Science, Eastern Kentucky University",1,1,Asia,2017,,1986,Founder,The Consistent,37
Peter Sondakh,1.7,67,Indonesia,Y,N,N,N,N,N,N,N,2008,10,0,0,0,Investments,male,"investments, Self Made",NA,0,1,Asia,2017,,1980,Founder,The Consistent,
Arthur Williams Jr,1.7,65,United States,Y,N,Y,Y,N,N,N,N,2007,2,1,0,0,Finance,male,"self made, Insurance","Mississippi State University, Bachelor of Arts / Science; Auburn University, Master of Science",2,0.18,North America,2008,2009,1977,Founder,The Ghost,35
Suat Gunsel,1.7,64,Cyprus,Y,N,N,N,N,N,N,N,2007,9,1,1,2,Real Estate,male,"real estate, education, Self Made",NA,0,0.82,Europe,2017,2009,,Founder,The Hustler,
Joaquin Rivero,1.7,64,Spain,Y,N,N,N,N,N,N,N,2007,1,1,0,0,Real Estate,male,"self made, Real Estate",,0,0.09,Europe,2007,2008,,,The Ghost,
Lorenzo Zambrano,1.7,63,Mexico,N,N,N,N,N,N,N,N,2007,2,1,0,0,Construction and Engineering,male,NA,NA,0,0.18,South America,2008,2009,1906,Relation,The Ghost,
Woods Staton,1.7,63,Colombia,Y,N,N,N,N,N,N,N,2012,2,1,0,0,Food and Beverage,male,"McDonald's restaurants, Self Made",NA,0,0.33,South America,2013,2014,,,The Ghost,
Aras Agalarov,1.7,61,Russia,Y,N,Y,N,N,N,N,N,2008,9,1,1,1,Fashion and Retail,male,"real estate, Self Made","Bachelor of Arts / Science, Baku Polytechnical Instit",1,0.9,Europe,2017,2009,1998,Founder,The Consistent,43
Carol Jenkins Barnett,1.7,60,United States,N,N,Y,N,N,N,N,N,2008,6,1,1,4,Food and Beverage,male,Publix supermarkets,"Bachelor of Arts / Science, Florida Southern College",1,0.6,North America,2017,2009,,,The Hustler,
Harsh Goenka,1.7,59,India,N,N,Y,N,Y,N,N,N,2015,3,0,0,0,Real Estate,male,diversified,"Master of Business Administration, International Institute for Management and Development; Bachelor of Arts / Science, Calcutta University",2,1,Asia,2017,,,,The Newbie,
Henry Swieca,1.7,59,United States,Y,N,Y,N,Y,N,N,N,2008,10,0,0,0,Finance,male,"hedge funds, Self Made","Bachelor of Arts / Science, SUNY Stony Brook; Master of Business Administration, Columbia Business School",2,1,North America,2017,,1992,,The Consistent,35
Louis Gonda,1.7,59,United States,N,N,N,N,N,N,N,N,2007,2,1,0,0,Retail,male,NA,NA,0,0.18,North America,2008,2009,1973,Founder,The Ghost,25
