Name,Worth,Age,Country,Self Made,Dropped Out,Bachelors Degree,Masters Degree,MBA1,phd,professional_degree,Other Degrees,Joining Year,No Of Times On List,No Of Times Left,No Of Comebacks,Longest Time Away,Sector,Gender1,Detail1,Detail2,Number Of Degress,Presence On List,Continent/Region,last_year_on_list,last_off_list,founding_year,relation,Cluster,Age at start
"Richard Yuengling, Jr.",1.8,74,United States,N,Y,N,N,N,N,N,N,2013,5,0,0,0,Food and Beverage,female,beer,"Drop Out, Lycoming College",0,1,North America,2017,,,,The Consistent,
Gail Miller,1.8,73,United States,Y,Y,N,N,N,N,N,N,2016,2,0,0,0,Sports,male,"basketball, car dealers, Self Made","Drop Out, University of Utah",0,1,North America,2017,,,,The Newbie,
Catherine Lozick,1.8,72,United States,N,N,N,N,N,N,N,N,2014,4,0,0,0,Manufacturing,female,valve manufacturing,NA,0,1,North America,2017,,1947,Relation,The Consistent,
Prajogo Pangestu,1.8,72,Indonesia,N,N,N,N,N,N,N,N,2017,1,0,0,0,Manufacturing,male,petrochemicals,NA,0,1,Asia,2017,,1977,Founder,The Newbie,33
Hong Ra-Hee,1.8,71,South Korea,N,N,Y,N,N,N,N,N,2014,4,0,0,0,Technology,female,Samsung,"Bachelor of Arts / Science, Seoul National University",1,1,Asia,2017,,1938,,The Consistent,
Cho Tak Wong,1.8,70,Hong Kong,Y,N,N,N,N,N,N,N,2008,10,0,0,0,Automotive,male,"auto parts, Self Made",NA,0,1,Asia,2017,,1987,CEO,The Consistent,
N.R. Narayana Murthy,1.8,70,India,Y,N,N,Y,N,N,N,N,2010,8,0,0,0,Software,male,"software services, Self Made","Master of Science, Indian Institute of Technology",1,1,Asia,2017,,1981,,The Consistent,35
Florentino Perez,1.8,70,Spain,Y,N,N,N,N,N,N,N,2007,11,0,0,0,Construction and Engineering,male,"construction, Self Made",NA,0,1,Europe,2017,,1983,Chairman And Ceo,The Consistent,
Dulce Pugliese de Godoy Bueno,1.8,69,Brazil,Y,N,N,N,N,Y,Y,N,2011,6,1,1,1,Health care,female,"hospitals, health care, Self Made","Medical Doctor, Universidade Federal do Rio de Janeiro; Doctorate, The University of Texas at Austin",2,0.86,South America,2017,2016,,Founder,The Consistent,
An Kang,1.8,68,China,Y,N,Y,N,N,N,N,N,2010,6,1,1,2,Health care,male,"pharmaceuticals, Self Made","Bachelor of Arts / Science, Henan Normal University",1,0.75,Asia,2017,2012,1992,,The Hustler,44
Craig McCaw,1.8,67,United States,N,N,Y,N,N,N,N,N,2007,11,0,0,0,Media,male,telecom,"Bachelor of Arts / Science, Stanford University",1,1,North America,2017,,1987,Founder,The Consistent,38
B Thomas Golisano,1.8,67,United States,Y,N,Y,N,N,N,N,N,2007,4,1,0,0,Service,male,"self made, paychex","SUNY Tech Alfred, Associate in Arts / Science",1,0.36,North America,2010,2011,,,The Ghost,
Jennifer Pritzker,1.8,66,United States,N,N,Y,N,N,N,N,N,2014,4,0,0,0,Service,female,"hotels, investments","Bachelor of Arts / Science, Loyola University Illinois",1,1,North America,2017,,,,The Consistent,
Syed Mokhtar AlBukhary,1.8,65,Malaysia,Y,Y,N,N,N,N,N,N,2007,10,1,1,1,Construction and Engineering,male,"engineering, energy, construction, Self Made","Drop Out, High School",0,0.91,Asia,2017,2009,,Founder,The Consistent,
Jeffrey Lurie,1.8,65,United States,N,N,Y,N,N,Y,N,N,2009,7,1,1,2,Sports,male,Philadelphia Eagles,"Bachelor of Arts / Science, Clark University; Doctorate, Brandeis University",2,0.78,North America,2017,2013,,,The Hustler,
Harsh Mariwala,1.8,65,India,N,N,Y,N,N,N,N,N,2015,3,0,0,0,Retail,male,consumer goods,"Bachelor of Arts / Science, Bombay University",1,1,Asia,2017,,,,The Newbie,
Patokh Chodiev,1.8,64,Belgium,Y,N,N,N,N,N,N,N,2007,11,0,0,0,Metals and Mining,male,"mining, metals, Self Made",NA,0,1,Europe,2017,,,Founder,The Consistent,
David Chow,1.8,64,Macau,Y,N,N,N,N,N,N,N,2014,1,1,0,0,Real Estate,male,"casinos, Self Made",NA,0,0.25,Asia,2014,2015,1997,Chairman And Ceo,The Hustler,
Jose Berardo,1.8,64,Portugal,Y,N,N,N,N,N,N,N,2008,2,1,0,0,Investments,male,"self made, Investments",,0,0.2,Europe,2009,2010,,,The Ghost,
Wolfgang Leitner,1.8,63,Austria,Y,N,N,N,N,N,N,N,2013,5,0,0,0,Construction and Engineering,male,"engineering, Self Made",NA,0,1,Europe,2017,,1852,President And Ceo,The Consistent,
Linda Pritzker,1.8,63,United States,N,N,N,N,N,N,N,N,2007,11,0,0,0,Service,female,"hotels, investments",NA,0,1,North America,2017,,,,The Consistent,
Miao Shouliang,1.8,62,China,Y,N,N,N,N,N,N,N,2014,4,0,0,0,Real Estate,male,"real estate, Self Made",NA,0,1,Asia,2017,,,,The Consistent,
Sylvia Stroher,1.8,61,Germany,N,N,N,N,N,N,N,N,2007,11,0,0,0,Fashion and Retail,female,cosmetics,NA,0,1,Europe,2017,,1927,Relation,The Consistent,
Louis Bacon,1.8,60,United States,Y,N,Y,N,Y,N,N,N,2007,11,0,0,0,Finance,male,"hedge funds, Self Made","Bachelor of Arts / Science, Middlebury College; Master of Business Administration, Columbia Business School",2,1,North America,2017,,1989,Founder,The Consistent,33
Xiong Xuqiang,1.8,60,Hong Kong,Y,N,N,N,Y,N,N,N,2012,6,0,0,0,Real Estate,male,"real estate, Self Made","EMBA, Huazhong University of Science and Technology",1,1,Asia,2017,,1994,Founder,The Consistent,38
Alexander Shchukin,1.8,60,Russia,Y,N,Y,N,N,N,N,N,2011,1,1,0,0,Metals and Mining,male,"coal, Self Made","Bachelor of Science in Engineering, Moscow Institute of Mining",1,0.14,Europe,2011,2012,,,The Ghost,
Christoph Henkel,1.8,59,Germany,N,N,N,N,N,N,N,N,2014,4,0,0,0,Retail,male,consumer goods,NA,0,1,Europe,2017,,1876,,The Consistent,
Jon Yarbrough,1.8,59,United States,Y,N,Y,N,N,N,N,N,2015,3,0,0,0,Gaming,male,"video games, Self Made","Bachelor of Arts / Science, Tennessee Technological University",1,1,North America,2017,,,,The Newbie,
Vladimir Melnichenko,1.8,59,Russia,Y,N,Y,N,N,N,N,N,2011,1,1,0,0,Metals and Mining,male,"coal, Self Made","Bachelor of Science in Engineering, Kuzbass Polytechnic Institute",1,0.14,Europe,2011,2012,,,The Ghost,
James Dinan,1.8,57,United States,Y,N,Y,N,Y,N,N,N,2008,10,0,0,0,Finance,male,"hedge funds, Self Made","Bachelor of Arts / Science, University of Pennsylvania Wharton School; Master of Business Administration, Harvard University",2,1,North America,2017,,1991,Founder,The Consistent,32
N. Murray Edwards,1.8,57,Canada,Y,N,Y,N,N,Y,Y,N,2007,10,1,1,1,Energy,male,"oil & gas, Self Made","Bachelor of Arts / Science, University of Saskatchewan; Doctor of Jurisprudence, University of Toronto",2,0.91,North America,2017,2009,1989,Chairman,The Consistent,
Roman Karkosik,1.8,57,Poland,Y,N,N,N,N,N,N,N,2007,2,1,0,0,Investments,male,"self made, Investments",NA,0,0.18,Europe,2008,2009,,,The Ghost,
Rubens Menin Teixeira de Souza,1.8,57,Brazil,Y,N,Y,N,N,N,N,N,2012,3,1,0,0,Construction and Engineering,male,"home building, Self Made","Bachelor of Arts / Science, Universidade Federal de Minas Gerais",1,0.5,South America,2014,2015,1979,Founder,The Hustler,23
Mark Coombs,1.8,56,United Kingdom,Y,N,N,N,N,N,N,N,2007,10,1,1,1,Finance,male,"finance, Self Made",NA,0,0.91,Europe,2017,2009,1998,,The Consistent,38
Reed Hastings,1.8,56,United States,Y,N,Y,Y,N,N,N,N,2015,3,0,0,0,Software,male,"Netflix, Self Made","Bachelor of Arts / Science, Bowdoin College; Master of Science, Stanford University",2,1,North America,2017,,,,The Newbie,
Valentin Bukhtoyarov,1.8,56,Russia,Y,N,Y,N,N,N,N,N,2011,1,1,0,0,Metals and Mining,male,"coal, Self Made","Bachelor of Science in Engineering, Siberian Metallurgical Institute",1,0.14,Europe,2011,2012,,,The Ghost,
Nicolas Berggruen,1.8,55,United States,N,N,Y,N,N,N,N,N,2009,9,0,0,0,Investments,male,investments,"Bachelor of Arts / Science, New York University",1,1,North America,2017,,1988,Founder,The Consistent,27
Yasseen Mansour,1.8,55,Egypt,Y,N,Y,N,N,N,N,N,2011,7,0,0,0,Diversified,male,"diversified, Self Made","Bachelor of Arts / Science, George Washington University",1,1,Africa,2017,,1952,Relation,The Consistent,
Patrice Motsepe,1.8,55,South Africa,Y,N,N,N,N,N,N,N,2008,10,0,0,0,Metals and Mining,male,"mining, Self Made",NA,0,1,Africa,2017,,1997,Founder And Executive Chairman,The Consistent,36
Antony Ressler,1.8,55,United States,Y,N,Y,N,Y,N,N,N,2015,3,0,0,0,Finance,male,"finance, Self Made","Bachelor of Arts / Science, Georgetown University; Master of Business Administration, Columbia Business School",2,1,North America,2017,,,,The Newbie,
Carlos Sanchez,1.8,55,Brazil,N,N,N,N,N,N,N,N,2015,3,0,0,0,Medicine,male,generic drugs,NA,0,1,South America,2017,,,,The Newbie,
Urs Wietlisbach,1.8,55,Switzerland,Y,N,N,N,N,N,N,N,2016,2,0,0,0,Finance,male,"private equity, Self Made",NA,0,1,Europe,2017,,,,The Newbie,
Geng Jianming,1.8,54,China,Y,N,Y,N,Y,N,N,N,2008,7,2,2,2,Real Estate,male,"real estate, Self Made","Master of Business Administration, Nanyang Technology University; Bachelor of Arts / Science, North China Institute of Astronautic Engineering",2,0.7,Asia,2017,2014,,,The Hustler,
Heloise Waislitz,1.8,54,Australia,N,N,N,N,N,N,N,N,2014,4,0,0,0,Manufacturing,female,packaging,NA,0,1,Oceania,2017,,1948,,The Consistent,
Marcel Erni,1.8,52,Switzerland,Y,N,N,N,N,N,N,N,2016,2,0,0,0,Finance,male,"private equity, Self Made",NA,0,1,Europe,2017,,,,The Newbie,
Alexander Frolov,1.8,52,Russia,Y,N,N,N,N,Y,N,N,2007,11,0,0,0,Metals and Mining,male,"mining, steel, Self Made","Doctorate, Moscow Institute of Physics and Technology",1,1,Europe,2017,,,,The Consistent,
He Qiaonu,1.8,51,China,Y,N,Y,N,N,N,N,N,2011,5,1,1,2,Architecture,female,"landscape architecture, Self Made","Bachelor of Arts / Science, Beijing Forestry University",1,0.71,Asia,2017,2015,1992,Founder,The Hustler,27
Wang Changtian,1.8,51,China,Y,N,Y,N,N,N,N,N,2014,4,0,0,0,Media,male,"TV, movie production, Self Made","Bachelor of Arts / Science, Fudan University",1,1,Asia,2017,,2000,Chairman,The Consistent,
Randal Nardone,1.8,51,United States,Y,N,Y,N,N,N,Y,N,2007,1,1,0,0,Finance,male,NA,NA,0,0.09,North America,2007,2008,,,The Ghost,
Thor Bjorgolfsson,1.8,50,Iceland,Y,N,Y,N,N,N,N,N,2015,3,0,0,0,Investments,male,"investments, Self Made","Bachelor of Arts / Science, New York University",1,1,Europe,2017,,,,The Newbie,
Huang Hongyun,1.8,50,China,Y,N,N,N,Y,N,N,N,2015,3,0,0,0,Real Estate,male,"real estate, Self Made","EMBA, Chongqing Universtiy",1,1,Asia,2017,,,,The Newbie,
Torsten Toeller,1.8,50,Germany,Y,N,N,N,N,N,N,N,2015,3,0,0,0,Food and Beverage,male,"pet food, Self Made",NA,0,1,Europe,2017,,,,The Newbie,
Chen Jinxia,1.8,48,China,N,N,Y,N,N,N,N,N,2010,7,1,1,1,Investments,male,investments,"Bachelor of Arts / Science, Shanghai University of Finance and Economics",1,0.88,Asia,2017,2012,1994,,The Consistent,
Andre Esteves,1.8,48,Brazil,Y,N,Y,N,N,N,N,N,2011,7,0,0,0,Finance,male,"banking, Self Made","Bachelor of Arts / Science, Universidade Federal do Rio de Janeiro",1,1,South America,2017,,2008,,The Consistent,40
Alfred Gantner,1.8,48,Switzerland,Y,N,N,N,N,N,N,N,2016,2,0,0,0,Finance,male,"private equity, Self Made",NA,0,1,Europe,2017,,,,The Newbie,
Cai Wensheng,1.8,47,China,Y,N,N,N,N,N,N,N,2017,1,0,0,0,Software,male,"photo sharing app, Self Made",NA,0,1,Asia,2017,,,,The Newbie,
John Coates,1.8,47,United Kingdom,Y,N,N,N,N,N,N,N,2015,3,0,0,0,Gaming,male,"online gambling, Self Made",NA,0,1,Europe,2017,,,,The Newbie,
Jonathan Gray,1.8,47,United States,Y,N,Y,N,N,N,N,N,2014,4,0,0,0,Finance,male,"investments, Self Made","Bachelor of Arts / Science, University of Pennsylvania Wharton School",1,1,North America,2017,,1985,Leadership,The Consistent,
Arvind Tiku,1.8,47,India,Y,N,N,N,N,N,N,N,2017,1,0,0,0,Energy,male,"oil & gas, investments, Self Made",NA,0,1,Asia,2017,,,,The Newbie,
Chen Dejun,1.8,46,China,Y,N,N,N,N,N,N,N,2017,1,0,0,0,Logistics,male,"package delivery, Self Made",NA,0,1,Asia,2017,,,,The Newbie,
Amy Wyss,1.8,46,United States,N,N,Y,N,N,N,N,N,2015,3,0,0,0,Health care,female,medical equipment,"Bachelor of Arts / Science, Skidmore College",1,1,North America,2017,,,,The Newbie,
Zhu Qingyi,1.8,46,China,Y,N,N,N,Y,N,N,N,2016,1,1,0,0,Real Estate,female,"real estate, Self Made","Master of Business Administration, Sun Yat-sen University",1,0.5,Asia,2016,2017,,,The Newbie,
Sun Qinghuan,1.8,43,China,Y,N,N,N,N,N,N,N,2015,3,0,0,0,Retail,male,"lighting, Self Made",NA,0,1,Asia,2017,,,,The Newbie,
Robert Kauffman,1.8,43,United States,Y,N,Y,N,N,N,N,N,2007,1,1,0,0,Finance,male,NA,NA,0,0.09,North America,2007,2008,,,The Ghost,
Alexander Shnaider,1.8,41,Canada,Y,N,Y,N,N,N,N,N,2007,4,1,0,0,Metals and Mining,male,"steel, Self Made","Bachelor of Arts / Science, York University",1,0.36,North America,2010,2011,,,The Ghost,
Bill Adderley,1.75,67,United Kingdom,Y,N,N,N,N,N,N,N,2014,2,1,0,0,Retail,male,"home furnishings, Self Made",NA,0,0.5,Europe,2015,2016,1979,Founder,The Hustler,32
Sudthida Ratanarak,1.7,NA,Thailand,N,N,N,N,N,N,N,N,2015,2,1,0,0,Media,male,"media, real estate",NA,0,0.67,Asia,2016,2017,,,The Newbie,
Fritz Draexlmaier,1.7,n/a,Germany,N,N,N,N,N,N,N,N,2014,4,0,0,0,Automotive,male,auto parts,NA,0,1,Europe,2017,,1958,Relation,The Consistent,
Christine Volkmann,1.7,n/a,Germany,N,N,N,N,N,N,N,N,2017,1,0,0,0,Automotive,female,auto parts,NA,0,1,Europe,2017,,,,The Newbie,
Chang Yun Chung,1.7,98,Singapore,Y,N,N,N,N,N,N,N,2015,3,0,0,0,Logistics,male,"shipping, Self Made",NA,0,1,Asia,2017,,,,The Newbie,
Maurice Alter,1.7,91,Australia,Y,N,N,N,N,N,N,N,2015,3,0,0,0,Real Estate,male,"real estate, Self Made",NA,0,1,Oceania,2017,,,,The Newbie,
Sanford Diller,1.7,89,United States,Y,N,N,N,N,N,N,N,2015,3,0,0,0,Real Estate,male,"real estate, Self Made",NA,0,1,North America,2017,,,,The Newbie,
Norman Braman,1.7,84,United States,Y,N,Y,N,N,N,N,N,2009,9,0,0,0,Automotive,male,"art, car dealerships, Self Made","Bachelor of Arts / Science, Temple University",1,1,North America,2017,,,,The Consistent,
Gabriel Escarrer,1.7,82,Spain,Y,N,N,N,N,N,N,N,2007,9,1,1,2,Service,male,"hotels, Self Made",NA,0,0.82,Europe,2017,2009,1956,Founder,The Hustler,22
Daniel Roullier,1.7,80,France,Y,N,N,N,N,N,N,N,2014,4,0,0,0,Food and Beverage,male,"animal feed, Self Made",NA,0,1,Europe,2017,,1959,,The Consistent,23
Don Simplot,1.7,80,United States,N,N,N,N,N,N,N,N,2016,1,1,0,0,Metals and Mining,female,fertilizer,NA,0,0.5,North America,2016,2017,,,The Newbie,
Vito Rodriguez Rodriguez,1.7,78,Peru,Y,N,N,N,N,N,N,N,2013,4,1,1,1,Diversified,male,"processed milk, Self Made",NA,0,0.8,South America,2017,2016,1967,Founder,The Consistent,29
Marion MacMillan Pictet,1.7,78,United States,N,N,N,N,N,N,N,N,2007,5,1,0,0,Agriculture,male,Cargill Inc.,NA,0,0.45,North America,2011,2012,,,The Ghost,
Martin Naughton,1.7,77,Ireland,Y,N,Y,N,N,N,N,N,2010,8,0,0,0,Manufacturing,male,"heating equipment, Self Made","Bachelor of Arts / Science, Southampton College of Advanced Technology England",1,1,Europe,2017,,1973,Founder,The Consistent,34
Willibert Krueger,1.7,76,Germany,Y,N,N,N,N,N,N,N,2016,2,0,0,0,Manufacturing,male,"food processing, Self Made",NA,0,1,Europe,2017,,,,The Newbie,
Jack Cowin,1.7,74,Australia,Y,N,Y,N,N,N,N,N,2015,3,0,0,0,Food and Beverage,male,"fast food, Self Made","Bachelor of Arts / Science, University of Western Ontario",1,1,Oceania,2017,,,,The Newbie,
Charlotte Colket Weber,1.7,74,United States,N,N,Y,N,N,N,N,N,2007,11,0,0,0,Food and Beverage,female,Campbell Soup,"Bachelor of Arts / Science, University of Paris",1,1,North America,2017,,1869,Relation,The Consistent,
