Country,Self.Made,Bachelors.Degree,MBA1,Sector,founding_year,relation,Age.at.start,Cluster,Name
Japan,Y,N,N,Retail,NA,NA,NA,The Hustler,Hajime Satomi
Brazil,N,Y,Y,Finance,1945,NA,-1,The Hustler,Jayme Garfinkel
Italy,N,N,N,Energy,1962,Relation,16,The Consistent,Massimo Moratti
Monaco,N,N,N,Retail,1960,NA,14,The Consistent,Ezra Nahmad
China,Y,N,N,Metals and Mining,1975,Chairman,29,The Consistent,Shen Wenrong
South Africa,N,Y,N,Metals and Mining,1928,Relation,-15,The Hustler,Desmond Sacco
India,N,N,Y,Health care,NA,NA,NA,The Ghost,Gracias Saldanha
India,Y,Y,N,Construction and Engineering,NA,NA,NA,The Ghost,GV Krishna Reddy
Thailand,Y,N,N,Investments,NA,NA,NA,The Consistent,Wichai Thongthan
France,Y,N,N,Real Estate,1994,Founder,47,The Consistent,Alain Taravella
Hong Kong,N,Y,Y,Service,1906,Relation,-43,The Consistent,William Fung
United States,Y,N,N,Retail,NA,NA,NA,The Ghost,William Kellogg
Turkey,N,Y,N,Diversified,NA,Relation,NA,The Consistent,Bulent Eczacibasi
United States,Y,Y,Y,Technology,1979,NA,30,The Consistent,Neal Patterson
Indonesia,Y,N,N,Diversified,1973,NA,24,The Consistent,Sukanto Tanoto
China,Y,N,N,Health care,1992,Founder,43,The Consistent,Wu Yiling
Japan,Y,Y,N,Fashion and Retail,NA,NA,NA,The Consistent,Takao Yasuda
Brazil,N,N,N,Construction and Engineering,1948,NA,0,The Hustler,Sergio Lins Andrade
South Korea,Y,N,N,Service,1985,NA,35,The Consistent,Chang Pyung-Soon
United States,N,Y,N,Construction and Engineering,1941,Relation,-10,The Hustler,Mitchell Jacobson
United States,Y,N,N,Investments,NA,NA,NA,The Consistent,Ron Burkle
Philippines,N,N,N,Energy,NA,NA,NA,The Consistent,"Robert Coyiuto, Jr."
United States,N,Y,N,Food and Beverage,NA,NA,NA,The Ghost,David Rich
Brazil,Y,Y,N,Retail,1969,Chairman,19,The Hustler,Guilherme Peirao Leal
United States,Y,Y,Y,Investments,NA,NA,NA,The Ghost,Joseph Steinberg
United States,Y,Y,Y,Finance,1988,Chairman,38,The Hustler,William Erbey
China,Y,N,N,Energy,NA,NA,NA,The Hustler,Dou Zhenggang
United States,N,Y,Y,Fashion and Retail,1969,Relation,15,The Consistent,Robert Fisher
China,Y,N,N,Agriculture,NA,NA,NA,The Hustler,Fu Guangming
United States,Y,Y,N,Energy,1983,Founder,30,The Consistent,Rodney Lewis
Netherlands,Y,N,N,Media,1994,NA,40,The Consistent,John de Mol
Turkey,N,N,N,Diversified,NA,NA,NA,The Consistent,Faruk Eczacibasi
Germany,N,Y,N,Finance,1904,Relation,-51,The Consistent,Rolf Gerling
India,N,N,N,Food and Beverage,1960,NA,5,The Consistent,Ravi Jaipuria
South Korea,N,Y,Y,Fashion and Retail,NA,NA,NA,The Consistent,Shin Dong-Bin
Brazil,N,Y,N,Construction and Engineering,1945,Relation,-11,The Consistent,Ana Maria Marcondes Penido Sant'Anna
Taiwan,Y,Y,N,Technology,NA,NA,NA,The Ghost,Michael Chiang
United States,N,Y,Y,Retail,1969,Relation,11,The Hustler,William Fisher
United States,Y,Y,Y,Investments,1982,Founder,25,The Consistent,Seth Klarman
Singapore,Y,N,N,Real Estate,NA,NA,NA,The Consistent,Zhong Shen Jian
Egypt,N,Y,N,Real Estate,NA,Relation,NA,The Hustler,Samih Sawiris
China,Y,N,Y,Diversified,NA,NA,NA,The Ghost,Zhou Furen
Indonesia,Y,N,N,Manufacturing,1991,Founder,32,The Consistent,Martua Sitorus
Morocco,N,N,Y,Energy,NA,Relation,NA,The Consistent,Aziz Akhannouch
China,Y,N,N,Investments,NA,NA,NA,The Consistent,Ke Xiping
India,N,Y,N,Food and Beverage,NA,NA,NA,The Ghost,Vijay Mallya
United Kingdom,Y,N,N,Finance,1997,NA,36,The Consistent,David Harding
China,Y,N,N,Health care,2005,Founder,43,The Consistent,Hu Kaijun
China,Y,N,N,Energy,1996,NA,35,The Consistent,Huo Qinghua
United States,Y,N,N,Real Estate,NA,NA,NA,The Consistent,David Lichtenstein
Russia,Y,Y,N,Manufacturing,NA,Founder,NA,The Hustler,Zelimkhan Mutsoev
China,Y,N,Y,Real Estate,NA,NA,NA,The Hustler,Zhang Keqiang
Brazil,Y,N,N,Manufacturing,1995,Founder,33,The Hustler,Liu Ming Chung
China,Y,N,N,Real Estate,NA,NA,NA,The Hustler,Qi Jinxing
Russia,Y,Y,N,Finance,1991,Founder,31,The Hustler,Sergei Sarkisov
Switzerland,N,N,N,Finance,1953,Relation,-11,The Consistent,Benjamin de Rothschild
United Kingdom,Y,N,N,Telecom,1989,Founder,26,The Hustler,Charles Dunstone
Peru,N,Y,N,Metals and Mining,NA,Relation,NA,The Hustler,Eduardo Hochschild
China,Y,N,N,Manufacturing,1999,Founder,36,The Consistent,Huang Li
United States,N,Y,N,Real Estate,NA,NA,NA,The Ghost,Henry Ross Perot Jr
United States,N,Y,Y,Finance,NA,NA,NA,The Ghost,Thomas Marsico
China,N,Y,N,Manufacturing,NA,NA,NA,The Consistent,Liang Zhaoxian
China,Y,Y,N,Software,1988,Chairman,23,The Hustler,Wang Wenjing
United States,Y,Y,N,Energy,NA,NA,NA,The Ghost,Aubrey McClendon
United Kingdom,Y,N,N,Real Estate,2007,Founder,44,The Hustler,Xiu Li Hawken
United States,Y,Y,N,Finance,1996,Founder,28,The Consistent,David Einhorn
Hong Kong,Y,N,N,Metals and Mining,NA,NA,NA,The Ghost,He Xuechu
Russia,Y,Y,N,Retail,NA,NA,NA,The Ghost,Andrei Rogachev
Indonesia,N,N,N,Metals and Mining,NA,NA,NA,The Ghost,Garibaldi Thohir
India,N,Y,N,Real Estate,NA,NA,NA,The Hustler,Vikas Oberoi
China,Y,N,N,Software,2005,Founder,35,The Consistent,Zhou Hongyi
Russia,Y,Y,N,Manufacturing,2004,Founder,36,The Hustler,Dmitry Mazepin
Russia,Y,Y,N,Finance,NA,Founder,NA,The Hustler,Nikolai Sarkisov
Kazakhstan,Y,N,N,Finance,NA,NA,NA,The Ghost,Nurzhan Subkhanberdin
South Korea,N,Y,N,Service,1938,Relation,-36,The Consistent,Lee Seo-Hyun
Spain,N,N,N,Retail,NA,NA,NA,The Hustler,Isidoro Alvarez
Kuwait,Y,N,N,Finance,NA,NA,NA,The Ghost,Mohamed Al-Bahar
Saudi Arabia,N,N,N,Diversified,NA,NA,NA,The Ghost,Sulaiman Algosaibi
Peru,N,N,N,Diversified,NA,Relation,NA,The Consistent,Ana Maria Brescia Cafferata
Japan,Y,N,N,Retail,NA,NA,NA,The Hustler,Nobutoshi Shimamura
United States,N,Y,N,Diversified,1946,Relation,18,The Consistent,Wilma Tisch
United States,N,N,N,Retail,1973,Founder,53,The Ghost,Leslie Gonda
Japan,Y,N,N,Finance,NA,Founder,NA,The Hustler,Ryoichi Jinnai
Canada,Y,N,N,Diversified,NA,NA,NA,The Consistent,Ronald Joyce
India,N,Y,N,Automotive,1969,Founder,39,The Consistent,Lachhman Das Mittal
United States,Y,N,N,Manufacturing,1955,NA,23,The Consistent,John Edson
Taiwan,Y,N,N,Technology,1971,Founder,36,The Consistent,Bruce Cheng
Canada,Y,Y,N,Energy,1978,NA,41,The Hustler,Clayton Riddell
United States,Y,N,N,Media,1977,CEO/Chairman,48,The Ghost,Herbert Siegel
United States,N,Y,N,Finance,NA,NA,NA,The Ghost,Peter Lewis
Turkey,Y,N,N,Energy,NA,NA,NA,The Ghost,Ali Metin Kazanci
Spain,Y,N,N,Real Estate,NA,NA,NA,The Ghost,Bautista Soler
Italy,N,N,N,Construction and Engineering,1936,Relation,0,The Hustler,Francesco Saverio Salini
Germany,Y,N,N,Software,1972,Founder,33,The Consistent,Hans-Werner Hector
United Kingdom,Y,N,N,Real Estate,1971,Founder,30,The Consistent,John Whittaker
United States,Y,Y,N,Real Estate,1980,Investor,38,The Consistent,Leon Charney
United States,N,Y,N,Real Estate,NA,NA,NA,The Consistent,Nicholas Pritzker
United States,N,N,N,Retail,NA,NA,NA,The Ghost,Richard Farmer
Australia,N,N,N,Metals and Mining,1955,Relation,10,The Hustler,Angela Bennett
Kuwait,N,Y,N,Diversified,1932,Relation,-14,The Hustler,Kutayba Alghanim
Venezuela,N,Y,N,Media,1929,Relation,-17,The Consistent,Gustavo Cisneros
United States,N,Y,N,Logistics,1906,Relation,-40,The Consistent,Victor Fung
Russia,Y,Y,N,Investments,1989,CEO,43,The Hustler,Megdet Rahimkulov
Austria,Y,N,Y,Fashion and Retail,1976,NA,29,The Consistent,Reinold Geiger
India,Y,N,N,Fashion and Retail,1993,NA,46,The Consistent,T.S. Kalyanaraman
United States,Y,Y,N,Telecom,1988,Founder,41,The Consistent,Kenny Troutt
Peru,Y,N,N,Retail,1967,Founder,22,The Hustler,Jorge Rodriguez Rodriguez
Belgium,N,N,N,Retail,NA,NA,NA,The Hustler,Albert Blokker
Thailand,Y,N,N,Real Estate,1992,NA,43,The Consistent,Keeree Kanjanapas
Russia,Y,Y,N,Manufacturing,1925,NA,-25,The Consistent,Pyotr Kondrashev
Taiwan,Y,N,N,Retail,NA,NA,NA,The Consistent,Lin Ming-Hsiung
Brazil,N,Y,N,Energy,NA,Chairman,NA,The Hustler,Rubens Ometto Silveira Mello
China,Y,N,N,Metals and Mining,NA,NA,NA,The Consistent,Liu Xuejing
Netherlands,N,N,N,Retail,NA,NA,NA,The Hustler,Els Blokker
Kuwait,N,Y,N,Diversified,1932,Relation,-20,The Hustler,Bassam Alghanim
Russia,Y,Y,N,Metals and Mining,NA,NA,NA,The Consistent,Vassily Anisimov
United Kingdom,Y,N,N,Media,1974,NA,23,The Consistent,Richard Desmond
United States,Y,Y,N,Finance,NA,NA,NA,The Ghost,Alfred West Jr
Brazil,Y,Y,N,Diversified,2001,Founder,49,The Consistent,Joao Alves de Queiroz Filho
Russia,Y,Y,N,Metals and Mining,1992,Founder,39,The Consistent,Anatoly Lomakin
United States,Y,Y,N,Health care,1988,NA,36,The Consistent,Leonard Schleifer
China,Y,N,N,Real Estate,1996,Founder,43,The Hustler,Huang Wen Tsai
United States,Y,Y,N,Retail,1984,Founder,31,The Consistent,Michael Krasny
United States,N,N,N,Media,NA,Relation,NA,The Consistent,Gary Magness
Brazil,Y,N,N,Investments,1988,Founder,35,The Consistent,Lirio Parisotto
Portugal,Y,N,N,Finance,NA,NA,NA,The Ghost,Horacio da Silva Roque
China,Y,N,N,Health care,1996,Founder,45,The Hustler,Liu Gexin
Turkey,Y,N,N,Diversified,NA,Relation,NA,The Consistent,Ahmet Calik
United States,Y,Y,N,Energy,1997,Founder,40,The Hustler,Paul Foster
Finland,N,N,N,Manufacturing,NA,Relation,NA,The Consistent,Ilkka Herlin
Canada,Y,N,N,Media,1984,Founder,25,The Consistent,Guy Laliberte
United States,N,N,N,Service,1973,Relation,13,The Consistent,Peter Sperling
Russia,Y,Y,N,Metals and Mining,NA,NA,NA,The Ghost,Vladimir Gridin
Russia,Y,N,N,Finance,NA,NA,NA,The Ghost,Sergei Veremeenko
Ukraine,Y,N,N,Diversified,NA,Founder,NA,The Consistent,Henadiy Boholyubov
China,Y,N,N,Health care,2005,NA,44,The Consistent,Jiang Wei
Italy,Y,N,N,Fashion and Retail,1954,Founder,-8,The Consistent,Remo Ruffini
China,Y,N,N,Service,2001,Founder,40,The Consistent,Wen Jianping
United States,Y,Y,Y,Investments,NA,NA,NA,The Ghost,Joseph Mansueto
China,Y,N,N,Manufacturing,1956,Chairman,-7,The Consistent,Cao Kejian
China,Y,N,Y,Health care,2001,NA,39,The Hustler,Che Fengsheng
Finland,N,N,N,Manufacturing,NA,NA,NA,The Consistent,Niklas Herlin
United Kingdom,Y,N,N,Finance,2002,Founder,39,The Consistent,Alan Howard
Russia,Y,N,N,Metals and Mining,1934,Former Ceo,-30,The Hustler,Dmitry Pumpyansky
China,Y,N,N,Health care,2001,Founder,37,The Consistent,Que Wenbin
United States,Y,Y,N,Energy,NA,NA,NA,The Ghost,Tracy Krohn
Russia,Y,N,Y,Diversified,NA,NA,NA,The Consistent,Alexei Ananyev
China,Y,N,N,Fashion and Retail,2005,NA,41,The Hustler,Gu Wei
South Korea,Y,N,N,Metals and Mining,NA,NA,NA,The Ghost,Cha Yong-Keu
India,N,Y,N,Construction and Engineering,NA,NA,NA,The Ghost,Gautam Thapar
United States,Y,Y,Y,Finance,2005,Founder,39,The Consistent,William Ackman
United Kingdom,Y,N,N,Metals and Mining,1974,Leadership,6,The Consistent,Alex Beard
Canada,Y,Y,N,Technology,1984,Founder,23,The Ghost,Douglas Fregin
Russia,Y,N,Y,Diversified,NA,NA,NA,The Consistent,Dmitry Ananyev
Russia,Y,Y,N,Logistics,NA,Founder,NA,The Hustler,Ziyaudin Magomedov
United States,Y,Y,Y,Software,2004,Coo,34,The Consistent,Sheryl Sandberg
Belize,Y,N,N,Retail,NA,NA,NA,The Ghost,Huang Maoru
China,Y,Y,N,Manufacturing,NA,NA,NA,The Ghost,Han Junliang
United States,Y,N,N,Software,2006,Founder,34,The Consistent,Evan Williams
China,Y,N,N,Energy,1997,Founder,28,The Hustler,Wang Kunxiao
China,N,N,N,Diversified,NA,NA,NA,The Ghost,Cheung Chung Kiu
United Kingdom,Y,N,N,Telecom,NA,NA,NA,The Ghost,David Ross
Russia,Y,N,N,Real Estate,NA,NA,NA,The Ghost,Maxim Blazhko
Russia,Y,N,N,Real Estate,NA,NA,NA,The Ghost,Dmitry Zelenov
Peru,N,N,N,Metals and Mining,NA,NA,NA,The Hustler,Rosa Brescia Cafferata
United States,N,N,N,Technology,2010,Founder,40,The Hustler,Mark Vadon
Germany,N,N,N,Technology,NA,NA,NA,The Consistent,"Anton Kathrein, Jr."
Australia,Y,N,N,Metals and Mining,NA,NA,NA,The Ghost,Chris Wallin
Greece,Y,N,N,Logistics,NA,NA,NA,The Ghost,Gabriel Panayotides
Kuwait,N,N,N,Diversified,1956,NA,NA,The Consistent,Fawzi Al-Kharafi
Kuwait,N,N,N,Diversified,1956,NA,NA,The Consistent,Mohannad Al-Kharafi
Canada,Y,Y,Y,Finance,1955,Founder,30,The Consistent,Stephen Jarislowsky
United States,Y,N,N,Fashion and Retail,NA,NA,NA,The Consistent,Sidney Kimmel
United States,N,N,N,Food and Beverage,NA,NA,NA,The Hustler,Dorrance Hamilton
Brazil,Y,N,N,Retail,NA,NA,NA,The Consistent,Nevaldo Rocha
United States,N,N,N,Agriculture,NA,NA,NA,The Ghost,Mary Janet Cargill
Brazil,Y,N,N,Manufacturing,1961,Founder,33,The Hustler,Eggon da Silva
Brazil,Y,N,N,Manufacturing,1961,Founder,32,The Hustler,Werner Voigt
United States,Y,Y,N,Technology,1985,Founder,52,The Consistent,Irwin Jacobs
United States,N,N,N,Real Estate,NA,NA,NA,The Ghost,William Hilton
Spain,Y,N,N,Construction and Engineering,1960,Founder,26,The Consistent,Jose Llado Fernandez-Urrutia
Brazil,Y,N,N,Media,NA,NA,NA,The Ghost,Silvio Santos
India,Y,Y,N,Diversified,NA,NA,NA,The Ghost,Rama Prasad Goenka
Italy,N,N,N,Energy,1962,NA,25,The Consistent,Gian Marco Moratti
Brazil,N,N,N,Finance,1943,Relation,5,The Consistent,Lina Maria Aguiar
Italy,N,N,N,Fashion and Retail,1884,NA,-54,The Consistent,Paolo Bulgari
Monaco,N,N,N,Finance,1955,Relation,17,The Consistent,Lily Safra
United States,Y,Y,N,Sports,NA,NA,NA,The Ghost,George Steinbrenner III
Brazil,N,N,N,Manufacturing,1961,Relation,26,The Hustler,Lilian Werninghaus
United States,N,N,N,Media,1923,Relation,-7,The Ghost,Roy Disney
Italy,N,N,N,Fashion and Retail,1884,NA,-57,The Consistent,Nicola Bulgari
United States,N,Y,N,Energy,NA,Relation,NA,The Consistent,William Koch
United States,N,N,N,Retail,1869,Relation,-66,The Ghost,Hope Hill van Beuren
United States,Y,Y,N,Real Estate,1997,Founder,59,The Ghost,Carl Berg
United States,N,Y,Y,Logistics,1935,Relation,-1,The Ghost,Donald Schneider
India,N,N,N,Health care,NA,NA,NA,The Hustler,Habil Khorakiwala
Brazil,Y,N,N,Fashion and Retail,1969,NA,27,The Consistent,Antonio Luiz Seabra
Netherlands,Y,N,N,Media,1993,Founder,52,The Hustler,Joop van den Ende
United States,Y,N,N,Real Estate,NA,NA,NA,The Ghost,William Pulte
Switzerland,N,N,N,Automotive,NA,NA,NA,The Consistent,Walter Frey
South Korea,N,Y,N,Retail,NA,NA,NA,The Consistent,Lee Myung-Hee
United States,N,N,N,Finance,NA,NA,NA,The Ghost,James Cayne
United States,N,N,N,Technology,1979,Founder,44,The Ghost,Richard Egan
Turkey,Y,N,N,Diversified,1953,NA,8,The Consistent,Ahmet Nazif Zorlu
United States,Y,Y,N,Health care,1976,Founder,31,The Consistent,James Leininger
United States,Y,Y,N,Sports,1952,Relation,6,The Hustler,Vincent McMahon
Australia,Y,N,N,Real Estate,1972,Founder,27,The Consistent,Lang Walker
United States,N,Y,Y,Retail,NA,NA,NA,The Ghost,Robert McLane Jr
United States,N,N,N,Energy,NA,NA,NA,The Ghost,Anne Windfohr Marion
Austria,N,N,N,Retail,1895,Relation,-49,The Hustler,Gernot Langes-Swarovski
Spain,N,N,N,Retail,NA,NA,NA,The Consistent,Fernando Roig
Hong Kong,Y,N,N,Health care,NA,NA,NA,The Ghost,Choy Kam Lok
United States,Y,N,N,Fashion and Retail,NA,NA,NA,The Ghost,Manny Mashouf
China,Y,N,Y,Manufacturing,NA,NA,NA,The Hustler,Li San Yim
Indonesia,Y,N,N,Retail,NA,NA,NA,The Consistent,Djoko Susanto
Brazil,Y,Y,N,Real Estate,1966,Founder,20,The Hustler,Carlos Francisco Ribeiro Jereissati
United States,Y,N,N,Finance,NA,NA,NA,The Ghost,Ian M Cumming
United Kingdom,Y,Y,N,Retail,NA,NA,NA,The Ghost,Nasser Khalili
Germany,N,N,N,Food and Beverage,NA,NA,NA,The Consistent,Thomas Bruch
United States,Y,Y,N,Metals and Mining,NA,NA,NA,The Hustler,Robert Friedland
Hong Kong,Y,Y,N,Manufacturing,1976,NA,26,The Consistent,Allan Wong
Italy,N,Y,N,Fashion and Retail,1924,NA,-28,The Consistent,Pier Luigi Loro Piana
United States,Y,N,N,Energy,2002,Founder,51,The Consistent,Farris Wilks
Mexico,Y,N,N,Food and Beverage,NA,NA,NA,The Ghost,Juan Gallardo Thurlow
Israel,Y,Y,N,Health care,1983,NA,31,The Consistent,Mori Arkin
United States,Y,N,N,Manufacturing,NA,Founder,NA,The Consistent,Alexander Rovt
United States,N,Y,N,Finance,NA,NA,NA,The Ghost,Robert Day
China,Y,N,N,Health care,1985,NA,32,The Consistent,Liu Baolin
South Korea,N,Y,Y,Fashion and Retail,NA,NA,NA,The Consistent,Shin Dong-Joo
United States,Y,Y,N,Finance,NA,NA,NA,The Ghost,Thomas Hicks
Chile,N,N,N,Diversified,NA,Relation,NA,The Consistent,Patricia Angelini Rossi
Russia,Y,N,N,Energy,1993,NA,38,The Hustler,Farkhad Akhmedov
Nepal,N,N,N,Diversified,1970,NA,14,The Consistent,Binod Chaudhary
Russia,Y,N,N,Energy,1995,NA,40,The Consistent,Alexander Dzhaparidze
India,Y,N,N,Finance,NA,NA,NA,The Ghost,Nimesh Kampani
Taiwan,Y,N,N,Food and Beverage,NA,Founder,NA,The Consistent,Wei Yin-Chun
United States,Y,N,N,Energy,2002,Founder,46,The Consistent,Dan Wilks
United States,Y,N,N,Food and Beverage,NA,NA,NA,The Ghost,Manoj Bhargava
Russia,Y,Y,N,Metals and Mining,NA,NA,NA,The Ghost,Gennady Kozovoy
United States,Y,N,N,Finance,NA,NA,NA,The Ghost,Kenneth Fisher
United States,Y,Y,N,Software,1985,CEO/Chairman,26,The Consistent,Steve Case
Russia,Y,Y,N,Real Estate,2010,Founder,51,The Consistent,Boris Mints
Thailand,Y,N,N,Real Estate,1993,Founder,35,The Consistent,Thongma Vijitpongpun
Taiwan,N,N,N,Food and Beverage,NA,Founder,NA,The Consistent,Wei Yin-Heng
India,Y,N,N,Automotive,NA,NA,NA,The Ghost,Naresh Goyal
United Kingdom,Y,N,N,Finance,NA,NA,NA,The Ghost,Peter Cruddas
United States,Y,N,N,Service,1982,Founder,23,The Hustler,Kenneth Tuchman
United Kingdom,Y,N,N,Finance,NA,NA,NA,The Ghost,Lloyd Dorfman
China,Y,Y,N,Real Estate,NA,NA,NA,The Ghost,Yang Erzhu
Sweden,Y,Y,Y,Finance,1988,Founder,28,The Consistent,Thomas Sandell
China,Y,N,Y,Health care,NA,NA,NA,The Ghost,Li Zhenjiang
Russia,Y,Y,N,Metals and Mining,NA,Founder,NA,The Hustler,Vladimir Iorich
Russia,Y,Y,N,Construction and Engineering,1999,Founder,36,The Consistent,Filaret Galchev
China,Y,N,N,Real Estate,1997,Chairman,33,The Consistent,Jiang Zhaobai
United States,Y,Y,Y,Energy,NA,NA,NA,The Consistent,Evgeny (Eugene) Shvidler
China,Y,N,Y,Diversified,NA,NA,NA,The Consistent,Zan Shengda
Czech Republic,Y,N,N,Metals and Mining,1995,Investor,30,The Consistent,Pavel Tykac
Russia,Y,Y,N,Metals and Mining,NA,NA,NA,The Ghost,Alexander Vagin
China,Y,N,N,Metals and Mining,1993,Founder,29,The Hustler,Zhang Zhongneng
United States,Y,Y,Y,Software,1965,NA,-1,The Consistent,Aneel Bhusri
United States,Y,Y,Y,Finance,NA,NA,NA,The Ghost,Raj Rajaratnam
China,Y,Y,N,Real Estate,NA,NA,NA,The Ghost,Xu Jiayin
South Korea,Y,N,N,Metals and Mining,NA,NA,NA,The Ghost,Yong Keu Cha
Russia,Y,Y,N,Finance,NA,Founder,NA,The Consistent,Roman Avdeev
United States,N,Y,N,Finance,NA,NA,NA,The Ghost,Barry Rosenstein
Russia,Y,N,N,Energy,1990,Founder,25,The Hustler,Konstantin Grigorishin
China,Y,Y,Y,Food and Beverage,1995,NA,27,The Consistent,Liang Yunchao
China,Y,N,Y,Medicine,1998,Founder,29,The Consistent,Ma Xingtian
Turkey,Y,N,N,Logistics,1998,Founder,30,The Hustler,Mubariz Gurbanoglu
Russia,Y,Y,N,Construction and Engineering,1993,Founder,22,The Hustler,Andrei Molchanov
Russia,Y,Y,N,Manufacturing,NA,NA,NA,The Ghost,Andrei Komarov
China,Y,N,Y,Retail,2003,Chairman,33,The Hustler,Sun Pingfan
India,Y,Y,N,Finance,NA,NA,NA,The Hustler,Sameer Gehlaut
India,Y,N,N,Energy,NA,NA,NA,The Ghost,Jitendra Tanti
United States,Y,N,N,Software,2006,NA,30,The Consistent,Jack Dorsey
United States,Y,Y,N,Technology,2002,NA,27,The Hustler,Nicholas Woodman
Russia,Y,N,N,Finance,NA,NA,NA,The Ghost,Ruben Vardanian
India,Y,N,N,Energy,NA,NA,NA,The Ghost,Girish Tanti
Hong Kong,N,N,N,Real Estate,1996,Relation,6,The Hustler,Perenna Kei
Russia,Y,Y,N,Agriculture,NA,Founder,NA,The Hustler,Sergei Kislov
China,Y,Y,N,Manufacturing,1997,NA,34,The Hustler,Sun Weijie
United States,Y,Y,N,Service,NA,NA,NA,The Ghost,Graham Weston
China,Y,N,N,Construction and Engineering,NA,NA,NA,The Ghost,Hua Bangsong
Hong Kong,Y,N,N,Media,NA,NA,NA,The Ghost,Jimmy Lai
United States,Y,N,N,Manufacturing,1950,NA,25,The Consistent,John Farber
Indonesia,N,N,N,Fashion and Retail,1950,Founder,24,The Consistent,Harjo Sutanto
Egypt,Y,N,N,Construction and Engineering,1950,NA,21,The Consistent,Onsi Sawiris
Philippines,Y,N,N,Real Estate,1955,Founder,28,The Hustler,Andrew Gotianun
United States,N,Y,N,Automotive,NA,NA,NA,The Hustler,William Ford Sr.
United States,N,Y,N,Retail,NA,NA,NA,The Consistent,Bruce Nordstrom
United States,N,Y,N,Media,1962,NA,26,The Consistent,Edmund Ansin
Philippines,Y,Y,N,Food and Beverage,NA,NA,NA,The Hustler,Eduardo Cojuangco
United States,N,Y,N,Retail,NA,NA,NA,The Consistent,Anne Gittinger
Canada,Y,N,N,Media,1971,Founder,38,The Hustler,Allan Slaight
United States,N,Y,N,Investments,NA,Relation,NA,The Hustler,Richard Scaife
Indonesia,Y,N,N,Manufacturing,NA,NA,NA,The Hustler,Soegiarto Adikoesoemo
Germany,N,N,N,Media,1948,NA,9,The Consistent,Monika Schoeller
India,Y,N,N,Manufacturing,1987,Founder,51,The Hustler,Brij Bhushan Singal
Australia,Y,N,N,Construction and Engineering,1960,Founder,24,The Hustler,Len Buckeridge
United States,Y,N,N,Automotive,NA,NA,NA,The Ghost,Thomas Friedkin
United States,Y,N,N,Technology,NA,NA,NA,The Consistent,Darwin Deason
France,N,N,N,Construction and Engineering,1853,Relation,-86,The Hustler,Jacques Merceron-Vicat
Italy,Y,N,N,Automotive,1961,NA,21,The Consistent,Alberto Bombassei
Spain,Y,N,N,Investments,1952,NA,9,The Consistent,Alberto Alcocer
United States,Y,Y,N,Finance,1974,Founder,32,The Consistent,Charles Brandes
Mexico,Y,N,N,Finance,1884,NA,-60,The Consistent,Alfredo Harp Helu
Australia,Y,N,N,Retail,NA,NA,NA,The Ghost,Gerald Harvey
United States,N,N,N,Energy,1974,Founder,39,The Ghost,Pincus Green
South Korea,Y,N,N,Retail,NA,NA,NA,The Hustler,Kim Jun-Ki
Australia,Y,N,N,Fashion and Retail,NA,NA,NA,The Consistent,Solomon Lew
United States,Y,Y,Y,Media,NA,NA,NA,The Ghost,L Lowry Mays
Indonesia,N,N,N,Retail,1951,Founder,10,The Ghost,Sjamsul Nursalim
Japan,N,N,Y,Food and Beverage,1899,NA,-47,The Hustler,Nobutada Saji
Australia,Y,N,N,Real Estate,NA,Founder,NA,The Hustler,John Van Lieshout
United Kingdom,N,N,N,Food and Beverage,1887,NA,-57,The Hustler,Benedicta Chamberlain
Canada,Y,Y,N,Real Estate,1975,CEO/Chairman,28,The Consistent,K. Rai Sahi
Japan,Y,Y,N,Gaming,NA,NA,NA,The Hustler,Yasuhiro Fukushima
United States,Y,Y,N,Fashion and Retail,1970,NA,23,The Consistent,Richard Hayne
India,Y,Y,N,Real Estate,NA,NA,NA,The Hustler,Niranjan Hiranandani
Brazil,Y,N,N,Fashion and Retail,1977,NA,28,The Consistent,Miguel Krigsner
China,Y,N,N,Food and Beverage,1989,Founder,40,The Hustler,Li Denghai
United States,N,N,N,Agriculture,NA,NA,NA,The Hustler,John MacMillan
Russia,Y,Y,N,Investments,1994,NA,45,The Consistent,Leonid Simanovsky
Iceland,Y,Y,N,Finance,NA,NA,NA,The Ghost,Bjorgolfur Gudmundsson
Australia,Y,N,N,Real Estate,NA,NA,NA,The Ghost,Langley Walker
Indonesia,Y,N,N,Metals and Mining,1973,Founder,25,The Consistent,Low Tuck Kwong
Turkey,Y,N,N,Diversified,NA,NA,NA,The Ghost,Mehmet Hattat
Japan,N,N,N,Construction and Engineering,1610,Relation,-333,The Ghost,Toichi Takenaka
Turkey,N,N,Y,Food and Beverage,NA,NA,NA,The Ghost,Tuncay Ozilhan
United States,N,Y,N,Investments,2001,NA,48,The Consistent,Michael Price
Taiwan,N,N,N,Food and Beverage,NA,Founder,NA,The Consistent,Wei Ing-Chou
Turkey,N,N,N,Retail,1944,NA,-7,The Hustler,Ahsen Ozokur
China,Y,N,N,Technology,1990,Founder,36,The Consistent,Tian Ming
Oman,Y,N,N,Energy,1982,Founder,31,The Hustler,Mohammed Al Barwani
Malaysia,Y,N,N,Diversified,1985,Founder,34,The Hustler,Vincent Tan
India,Y,N,N,Software,NA,NA,NA,The Consistent,K. Dinesh
