Country,Self.Made,Bachelors.Degree,MBA1,Sector,founding_year,relation,Age.at.start,Cluster,Name
India,N,N,N,Diversified,NA,NA,NA,The Consistent,Shashi & Ravi Ruia
Switzerland,Y,N,Y,Health care,1974,NA,40,The Consistent,Hansjoerg Wyss
Taiwan,Y,N,N,Real Estate,1965,NA,30,The Consistent,Lin Yu-lin
United States,Y,N,N,Fashion and Retail,1967,Founder,28,The Consistent,Ralph Lauren
Sweden,N,N,N,Diversified,1873,NA,-71,The Consistent,Antonia Johnson
United States,Y,Y,N,Finance,1983,Founder,39,The Consistent,Bruce Kovner
United States,Y,Y,Y,Finance,1990,Founder,39,The Consistent,Leon Black
Germany,N,N,N,Retail,NA,NA,NA,The Ghost,Madeleine Schickedanz
United States,N,Y,N,Media,1936,Relation,12,The Consistent,Sumner Redstone
India,N,N,N,Automotive,1948,NA,6,The Consistent,Vikram Lal
United States,N,N,N,Fashion and Retail,NA,NA,NA,The Consistent,Christy Walton
United States,Y,Y,N,Finance,1988,Founder,38,The Consistent,David Shaw
Hong Kong,Y,N,Y,Real Estate,1988,NA,38,The Consistent,Hui Wing Mau
Indonesia,N,Y,N,Manufacturing,1973,NA,20,The Consistent,Sri Prakash Lohia
Russia,Y,Y,N,Finance,1998,NA,36,The Hustler,Roustam Tariko
United States,Y,N,N,Real Estate,1952,Founder,27,The Consistent,Ted Lerner
United States,Y,Y,N,Retail,NA,NA,NA,The Ghost,Bradley Hughes
Germany,Y,N,N,Health care,1972,Founder,33,The Consistent,Guenther Fielmann
United States,Y,Y,N,Technology,1987,Founder,46,The Consistent,John Tu
United States,Y,Y,N,Media,1971,Founder,27,The Consistent,George Lucas
Hong Kong,N,N,N,Real Estate,1961,Founder,13,The Consistent,Law Kar Po
United States,Y,Y,N,Energy,1994,Founder,43,The Consistent,Trevor Rees-Jones
United States,Y,Y,N,Technology,1987,NA,36,The Consistent,David Sun
Norway,N,N,N,Retail,NA,NA,NA,The Consistent,Odd Reitan
Switzerland,N,N,N,Food and Beverage,1851,Relation,-112,The Consistent,Margarita Louis-Dreyfus
India,N,Y,N,Manufacturing,1918,Relation,-14,The Consistent,Benu Gopal Bangur
United States,Y,N,N,Retail,NA,NA,NA,The Consistent,Tom & Judy Love
