Name_updated,Name,Not Available,Citizenship,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,joining_year,no_of_times_on_list,no_of_times_left,no_of_comebacks,longest_time_away,Sector
Ma Xingtian,Ma Xingtian,,China,NA,NA,NA,NA,X,X,NA,X,X,X,X,2011,6,1,1,1,
Ma Xiuhui,Ma Xiuhui,,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,
Ma Yunsheng,Ma Yunsheng,,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,
Maan Al-Sanea,Maan Al-Sanea,,Saudi Arabia,X,X,X,NA,NA,NA,NA,NA,NA,NA,NA,2007,3,1,0,0,
Madeleine Olsson Ericksson,Madeleine Olsson Ericksson,,Sweden,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,
Madeleine Schickedanz,Madeleine Schickedanz,,Germany,X,X,X,NA,NA,NA,NA,NA,NA,NA,NA,2007,3,1,0,0,
Maersk Mc-Kinney Moller,Maersk Mc-Kinney Moller,,Denmark,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,1,1,0,0,
Magdalena Martullo-Blocher,Magdalena Martullo-Blocher,752,Switzerland,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,
Maggie Magerko,Maggie Magerko,,United States,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,
Mahdi Al-Tajir,Mahdi Al-Tajir,,United Arab Emirates,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2,1,0,0,
Mahendra Prasad,Mahendra Prasad,,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,
Maja Oeri,Maja Oeri,753,Switzerland,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,
Majid Al Futtaim,Majid Al Futtaim,754,United Arab Emirates,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Malcolm Glazer,Malcolm Glazer,,United States,X,X,X,X,X,X,X,X,NA,NA,NA,2007,8,1,0,0,
Malone Mitchell,Malone Mitchell,,United States,NA,NA,NA,X,X,NA,NA,NA,NA,NA,NA,2010,2,1,0,0,
Malvinder & Shivinder Singh,Malvinder & Shivinder Singh,,India,X,X,X,X,X,X,X,X,X,NA,NA,2007,9,1,0,0,
Mangal Prabhat Lodha,Mangal Prabhat Lodha,755,India,NA,NA,NA,NA,X,X,X,X,X,X,X,2011,7,0,0,0,
Manny Mashouf,Manny Mashouf,,United States,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,1,1,0,0,
Manny Stul,Manny Stul,,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,
Manoj Bhargava,Manoj Bhargava,,United States,NA,NA,NA,NA,NA,X,X,NA,NA,NA,NA,2012,2,1,0,0,
Mansour bin Zayed Al Nahayan,Mansour bin Zayed Al Nahayan,,United Arab Emirates,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,2009,1,1,0,0,
Manuel Jove,Manuel Jove,,Spain,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Manuel Lao Hernandez,Manuel Lao Hernandez,756,Spain,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,
Manuel Manrique,Manuel Manrique,,Spain,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,1,1,0,0,
Manuel Moroun,Manuel Moroun,,United States,NA,NA,X,X,X,X,X,X,X,X,X,2009,9,0,0,0,
Manuel Villar,Manuel Villar,,Philippines,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,
Mao Zhongwu,Mao Zhongwu,,China,NA,NA,NA,NA,X,X,X,NA,NA,NA,NA,2011,3,1,0,0,
Marc Andreessen,Marc Andreessen,,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,
Marc Benioff,Marc Benioff,153,United States,X,X,NA,X,X,X,X,X,X,X,X,2007,10,1,1,1,
Marc Ladreit de Lacharriere,Marc Ladreit de Lacharriere,757,France,X,X,NA,X,X,X,X,X,X,X,X,2007,10,1,1,1,
Marc Lasry,Marc Lasry,,United States,NA,X,X,X,X,X,X,X,X,X,X,2008,10,0,0,0,
Marc Nathanson,Marc Nathanson,,United States,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,1,1,0,0,
Marc Rich,Marc Rich,,United States,X,X,X,X,NA,NA,NA,NA,NA,NA,NA,2007,4,1,0,0,
Marc Rowan,Marc Rowan,280,United States,NA,X,NA,X,X,X,X,X,X,X,X,2008,9,1,1,1,
Marc Samwer,Marc Samwer,,Germany,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,2015,1,1,0,0,
Marcel Adams,Marcel Adams,,Canada,NA,NA,NA,NA,NA,NA,X,X,NA,NA,X,2013,3,1,1,2,
Marcel Erni,Marcel Erni,,Switzerland,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,
Marcel Herrmann Telles,Marcel Herrmann Telles,758,Brazil,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Marcos Antonio Molina dos Santos,Marcos Antonio Molina dos Santos,,Brazil,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,2013,1,1,0,0,
