Country_Name,no_of_holidays,avg_gdp,Average_PPP,Average_grads,Population,Average_Income,Compensation of employees (% of expense),Consumer price index (2010 = 100),Duration of compulsory education (years),Gross savings (% of GDP),"Health expenditure, private (% of GDP)","Labor force, total","Life expectancy at birth, total (years)",Unemployment_Rate,Population ages 0-14 (% of total),Population ages 15-64 (% of total),Population ages 65 and above (% of total),Average Democratic Index,Average GDP Growth,Household final expenditure (% of GDP)
Guinea,9,5365051665,53.24706995,3639.444444,11342890.44,0,0,123.7928907,6,-8.448256167,2.773676072,4551841.125,56.52829573,1.650000036,43.2013847,53.67615729,3.122458011,2.734444444,2.111500667,92.56513612
Guinea-Bissau,6,947400835,83.00046131,0,1678863.111,0,0,102.5342441,9,2.342132379,4.639074528,709095.25,53.99532317,0,41.44045218,55.41529952,3.144248294,1.833333333,3.3166919,90.18828453
Guyana,14,2512073870,315.2931978,1085.888889,756016.5556,209.33,0,102.5516398,6,10.14635558,2.071960804,309118.625,66.08905793,0,32.53210678,62.94218892,4.525704301,6.075555556,4.334266037,89.03837612
Haiti,12,7461628017,123.3726908,0,10140302.33,712.5,0,109.255946,6,25.07914561,6.334105116,4227294.625,61.40810975,0,35.45352933,60.05485693,4.491613735,4.006666667,2.044206572,97.39026169
Honduras,8,16751157228,376.0589758,9767.888889,7613724.889,522.86,49.686338,106.5718947,10.5,18.2673463,4.553473458,3040557.75,72.48952744,3.733333389,35.00639402,60.48857544,4.505030546,5.923333333,3.244845562,79.0583657
"Hong Kong SAR, China",13,2.51E+11,0,0,7092466.667,2495.86,23.49679128,106.6286335,9,29.4660589,0,3705655.25,83.14634146,3.800000012,12.09974554,74.47968552,13.42056894,6.215555556,3.069215646,63.21096555
Hungary,8,1.35E+11,1668.293592,53256.66667,9956996.222,667.58,13.76653049,102.3733704,9.5,21.17152671,2.622024494,4330516.375,74.54085366,9.537499964,14.6918743,68.36772095,16.94040475,7.066666667,0.544497709,52.38737366
Iceland,10,15865302773,3585.722093,2091.333333,320802.5556,2176.15,24.1987004,101.7336542,10,12.08196152,1.646732143,188383.5,82.01371951,5.412499994,20.8694189,66.59214647,12.53843463,9.624444444,1.728073056,52.72029035
India,15,1.68E+12,199.5377937,982892.2222,1246533224,452.11,8.681283495,110.264854,8,35.78720896,3.182267226,477537079,66.68461585,4.125,30.46443202,64.30703607,5.228531902,7.637777778,7.215720762,55.926514
Indonesia,14,7.46E+11,247.9258619,380809.2222,244874318,304.25,14.52157203,106.3715766,9,30.5698834,1.782967619,117619239.4,68.23554878,7.162499964,28.55808242,66.43215314,5.009764438,6.704444444,5.6429289,57.71792027
"Iran, Islamic Rep.",17,4.13E+11,1115.951713,378952,75291396.11,447.61,37.59630052,150.9729613,8,0,4.263363832,25452889,74.12635366,11.25,23.65169537,71.39679842,4.951506205,2.235555556,2.313089963,47.64801718
Iraq,12,1.67E+11,447.813574,0,32117232.11,572.85,44.32296649,104.0811968,6,25.96443055,1.440186011,7747743.125,68.68399695,11.6500001,41.58800099,55.19943526,3.212563751,4.07,5.613629366,47.18770674
Ireland,9,2.44E+11,3788.740563,32864.22222,4555992.111,2991.21,23.86398754,103.3038251,10,21.28332447,2.484429354,2205865.625,80.55823171,11.32499999,21.02037653,67.29724801,11.68237546,8.814444444,3.509489021,44.5446123
Israel,11,2.51E+11,2250.12318,0,7770000,1874.63,22.07629185,101.2489159,12.5,22.49142756,2.841679904,3316530.75,81.50426829,6.125,27.52756638,61.89323724,10.57919638,7.564444444,3.719040152,56.29502449
Italy,14,2.15E+12,3204.574955,173560.6667,59598018,2117.76,14.64753192,102.3812831,12,18.2080526,2.18405077,24929547.75,82.05,9.099999845,13.95314303,65.10922906,20.93762791,7.853333333,-0.7243323,60.7351203
Jamaica,10,13674326542,451.9091241,2830.777778,2697270.222,1080.44,25.23635418,106.8500366,6,12.78972937,2.412125041,1269043.125,74.90882622,12.21428558,26.39141751,65.03733705,8.571245432,7.315555556,-0.208973333,83.81176716
Japan,14,5.03E+12,3301.06727,887255.2222,127665406.6,2782.43,6.936891376,101.0417566,9,23.67723646,1.690724302,66085901.5,82.93448171,4.175000042,13.21528894,63.16222811,23.62248295,8.083333333,0.47457026,57.71096507
Jordan,11,28449096459,848.7118335,19158.66667,6726057.778,636.99,41.11988732,103.9442903,10,17.03108117,2.70438169,1761414.625,73.5107439,12.69999995,36.45843338,59.82938876,3.712177863,3.842222222,4.082419878,80.13269448
Kazakhstan,15,1.75E+11,828.8327804,79745,16532124.89,614.24,7.252000997,107.0236545,10,27.46238491,1.74412566,8849266.375,68.86393293,5.912500024,24.93887049,68.15034916,6.910780348,3.212222222,4.922222222,48.55562733
Kenya,10,46348039425,124.1142333,0,41518109,481.21,36.09348442,112.8543725,12,12.65867699,2.408964586,15692312.5,58.91752134,0,42.44301261,54.85053721,2.706450173,4.991111111,5.125930276,78.4850304
Kiribati,8,151531850.2,188.4292563,0,104520,0,41.38350574,0,9,0,1.95053224,0,65.41257012,30.60000038,35.78473058,60.62205293,3.593216487,,1.821029172,
"Korea, Dem. People’s Rep.",13,0,NA,0,#N/A,0,0,0,11,0,0,14890901.63,69.1226189,0,22.41542133,68.63749031,8.947088361,1.05,,
"Korea, Rep.",15,1.18E+12,2086.705249,403976.3333,49687033.78,2174.36,10.33680402,102.0837778,8.571428571,34.1054668,3.02340891,25284750.63,80.75902439,3.362500012,15.83789091,72.67235782,11.48975127,8.022222222,3.368957166,51.07147038
Kosovo,10,6226831058,0,0,1782459.667,0,0,104.4127847,0,19.55348527,0,0,70.08567074,42.5250001,26.6075912,66.7370034,6.738203367,,3.620549877,88.08519603
Kuwait,8,1.40E+11,2115.435144,1412.888889,3231364.889,2236.71,0,102.9827638,9,51.72779628,0.420802215,1634298.125,74.1845061,2.059999967,23.48594921,74.57801942,1.936031374,3.682222222,2.086590304,29.36455202
Kyrgyz Republic,11,5844980896,188.9863162,33560.33333,5561355.556,350,29.46650653,110.6319873,9,17.11751769,2.892607434,2561817.25,69.36981707,8.37142849,30.41343654,65.04682558,4.539737881,4.628888889,4.848459103,88.79068646
Lao PDR,8,8395468683,104.495751,16561,6367781.889,281.33,48.95557775,107.2648665,5,15.91666285,1.613513002,3098680.25,64.5265122,0,36.65510418,59.62459843,3.720297396,2.191111111,7.87313636,69.88095062
Latvia,7,29025490145,859.5882012,20972.66667,2077307.556,713.11,17.7030241,101.7984074,10.25,22.42751399,2.346315562,1080809.25,73.19085366,13.08750004,14.34810924,67.01106755,18.6408232,7.217777778,,60.9874283
Lebanon,10,38558535789,1090.94084,18665.22222,4775499.667,937.16,21.49390598,107.8062388,9,12.84617509,4.245273945,1651728,78.5431311,9,24.328197,67.5100868,8.161716202,5.28,,79.88946701
Lesotho,9,1825977859,232.9827296,1841.222222,2038490,1017.82,39.73304396,105.6949542,7,0,2.730598706,833964.875,47.60340854,24.84999943,37.36452001,58.35239645,4.283083539,6.475555556,4.439088813,
Liberia,8,1481145800,79.3525468,839,4048668.889,0,40.53220009,104.9763253,6,-6.581743737,7.871928388,1389768.75,59.37926524,4.649999977,43.09485677,53.85482007,3.050323151,5.08,5.964593553,163.9657236
Libya,8,60540337915,817.9201873,0,6221184.111,644.09,0,105.9990751,9,71.5776868,1.13695693,2341722.875,71.718875,19,29.23665878,66.46423193,4.299109283,3.066666667,-9.765019778,17.75296271
Liechtenstein,16,3388567246,0,174.4444444,36513,0,0,0,9,0,0,0,82.00213415,2.579999971,0,0,0,,1.322189607,
Lithuania,8,42726212455,1473.216733,33383.66667,3056207.333,701.28,15.74698798,101.6147843,9,17.79879602,1.95819514,1547761.875,73.02530488,11.61249983,14.83611462,67.34251536,17.82137002,7.4,2.068356471,63.95693165
Luxembourg,10,56372484189,6454.839601,560.3333333,521336.3333,4479.8,17.01873333,102.7639295,10.5,21.8740195,1.067407408,241688.75,80.9472561,5.050000012,17.35694575,68.62543492,14.01761933,8.921111111,,32.400416
"Macao SAR, China",5,35760553923,0,5839.333333,543816.4444,0,32.07824398,108.3740511,10,52.69848641,0,332515.875,79.80113415,2.549999982,13.25764838,79.01172763,7.73062399,,,23.62311951
"Macedonia, FYR",21,9946390103,768.382978,8471.666667,2065537.222,386.85,18.20409436,103.4104294,9,24.26781984,2.287170912,933238.25,74.81326829,31.53750014,17.9819144,70.53621602,11.48186958,6.075555556,,73.94062497
Madagascar,10,9494863075,59.35966006,9579.111111,21730812.67,533.33,51.47450862,108.0824055,5,8.231927093,1.933241916,10773915.75,63.57865549,2.549999952,43.05570633,54.09583065,2.848463023,4.65,2.525050748,85.34219118
Malawi,8,6118810845,79.17786156,144.3333333,15281087.56,1098.99,25.68079829,135.3876091,0,13.3910133,4.721416874,6743585.125,57.43206402,6.400000095,45.93059182,50.80907372,3.260334456,5.624444444,5.878660959,79.21526682
Malaysia,20,2.72E+11,823.9155774,192819.3333,28555758.78,979.6,28.77909767,103.0302144,6,32.88234599,1.719024017,12264461.88,74.24205183,3.212500006,26.97151932,67.83413242,5.194209451,6.342222222,4.849381992,49.19439549
Maldives,6,2479892676,1157.351692,0,378129.2222,627.3,36.71493032,111.1831622,0,0,2.5692744,175632.375,76.19421037,11.69999981,28.71323154,66.4847271,4.802041365,,5.492928254,
Mali,7,11656841033,99.63020861,0,15652637.89,400,35.44676695,102.4411525,9,16.92285246,4.122269944,5224843.875,56.29268293,8.280000019,47.26383746,50.04710955,2.689052992,5.826666667,4.00812379,71.83123291
Malta,14,6679029214,2602.677116,2030,417875.7778,1562.2,31.448659,101.9196787,11,20.30871126,3.10501406,178422.375,80.75670732,6.400000095,15.85176567,67.39799606,16.75023828,8.341111111,3.019529569,57.33110312
Mauritania,6,4097056788,117.8488361,307.7777778,3689591.667,0,0,104.8245121,6,31.09090363,1.805665915,1151739.125,62.11828964,31.20000076,40.81127333,56.01927613,3.169450539,3.943333333,3.553129612,51.77137707
Mauritius,15,10526650997,763.3571819,624.5555556,1252450.889,1337.74,28.05008219,105.339092,11,13.01662814,2.577251909,572078.75,73.29161585,7.824999928,21.43993716,70.48785761,8.072205227,8.136666667,4.105951114,74.1367337
Mexico,10,1.13E+12,988.9946957,310406.4444,120236083.2,729.94,0,103.6004606,12.125,23.29153947,3.183559477,51245483.88,76.12735671,4.649999976,29.50754197,64.50883215,5.983625887,6.757777778,2.127489155,67.08029263
"Micronesia, Fed. Sts.",12,262086528.4,434.4312748,0,104038.4444,0,33.18341627,0,0,0,1.194250927,0,68.66721646,0,36.17962646,59.81751488,4.002858658,,-0.18930916,
Moldova,11,6502962404,454.1160006,25173.44444,3562587.222,244.09,13.4549033,107.3996031,9,17.35841796,5.822165238,1246062.25,69.9205,5.524999976,16.38052508,73.5504727,10.06900222,6.33,3.522222234,91.71102525
Monaco,12,3319601936,5596.663997,0,36827.55556,4142.78,0,0,11,0,0.478308786,0,0,0,0,0,0,,12.29122116,
