Country Name,Country Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
St. Martin (French part),MAF,78.37073171,78.57073171,78.72195122,78.87073171,79.02195122,79.17073171,79.32195122,79.47073171
Saint Vincent And The Grenadines,VCT,71.92312195,72.13892683,72.3342439,72.50707317,72.66263415,72.80658537,72.9395122,73.06495122
Sudan,SDN,61.73419512,62.17578049,62.6007561,62.99702439,63.36004878,63.68578049,63.97473171,64.22941463
Suriname,SUR,69.796,70.09441463,70.3642439,70.60039024,70.80682927,70.98853659,71.14697561,71.28619512
Swaziland,SWZ,48.83509756,50.11860976,51.44819512,52.75373171,53.99043902,55.11929268,56.10146341,56.91236585
Sweden,SWE,81.1,81.35121951,81.45121951,81.80243902,81.70487805,81.95609756,82.25365854,82.55121951
Switzerland,CHE,81.99268293,82.04390244,82.24634146,82.69512195,82.69756098,82.79756098,83.19756098,83.19756098
Syria,SYR,73.79846341,73.1294878,72.33982927,71.53943902,70.8514878,70.37543902,70.16321951,70.25265854
Tajikistan,TJK,69.05787805,69.44909756,69.80236585,70.11360976,70.38473171,70.62119512,70.82697561,71.00712195
Tanzania,TZA,59.11812195,60.01043902,60.85568293,61.67443902,62.48729268,63.30560976,64.1184878,64.90331707
Thailand,THA,73.25026829,73.58741463,73.89419512,74.16739024,74.41680488,74.64765854,74.86404878,75.068
Timor Leste,TLS,66.45187805,66.9387561,67.30046341,67.57229268,67.80414634,68.03782927,68.29295122,68.58002439
Togo,TGO,56.15007317,56.79068293,57.4425122,58.06860976,58.64456098,59.15046341,59.57634146,59.92370732
Tonga,TON,71.87390244,72.01114634,72.14819512,72.28597561,72.42397561,72.56212195,72.70136585,72.84017073
Trinidad,TTO,69.42441463,69.60556098,69.79253659,69.97731707,70.15290244,70.31485366,70.45965854,70.58885366
Tunisia,TUN,74.63697561,74.72529268,74.81126829,74.90668293,75.01890244,75.15429268,75.31434146,75.49704878
Turkey,TUR,73.50282927,73.80631707,74.09404878,74.36941463,74.63629268,74.89604878,75.15214634,75.40709756
Turkmenistan,TKM,65.9857561,66.30714634,66.60539024,66.87290244,67.10912195,67.31404878,67.49068293,67.64104878
Turks And Caicos Islands,TCA,..,..,..,..,..,..,..,..
Tuvalu,TUV,..,..,..,..,..,..,..,..
Uganda,UGA,55.49546341,56.3322439,57.07763415,57.722,58.27482927,58.74902439,59.15580488,59.5087561
Ukraine,UKR,68.25146341,69.19,70.26536585,70.80926829,70.94414634,71.1595122,71.18658537,71.1895122
United Arab Emirates,ARE,76.34041463,76.52243902,76.69487805,76.85978049,77.01914634,77.175,77.32936585,77.4842439
Uk,GBR,79.6,80.05121951,80.40243902,80.95121951,80.90487805,81.00487805,81.30487805,81.60487805
Us,USA,78.03902439,78.3902439,78.54146341,78.64146341,78.74146341,78.74146341,78.74146341,78.74146341
Uruguay,URY,76.10158537,76.25009756,76.39612195,76.54219512,76.68836585,76.83465854,76.98209756,77.13163415
Uzbekistan,UZB,69.2865122,69.6307561,69.96843902,70.28341463,70.56302439,70.80068293,70.99339024,71.14568293
Vanuatu,VUT,70.24385366,70.529,70.80312195,71.0647561,71.31343902,71.54917073,71.772,71.98490244
Venezuela,VEN,73.47826829,73.5715122,73.67514634,73.79419512,73.9262439,74.07041463,74.22614634,74.3915122
Vietnam,VNM,74.63865854,74.80319512,74.97043902,75.14285366,75.32134146,75.50534146,75.69529268,75.89119512
Virgin Islands (U.S.),VIR,78.92439024,79.07317073,79.17317073,79.37317073,79.47317073,79.62439024,79.77317073,79.87317073
West Bank and Gaza,PSE,72.11239024,72.28014634,72.447,72.61536585,72.78470732,72.95546341,73.12812195,73.30168293
Yemen,YEM,62.88134146,63.20031707,63.4982439,63.77560976,64.03339024,64.27707317,64.50717073,64.72568293
Zambia,ZMB,53.68846341,55.13158537,56.5244878,57.80860976,58.9474878,59.92019512,60.71534146,61.33958537
Zimbabwe,ZWE,49.24943902,51.02890244,52.87780488,54.69719512,56.40770732,57.9405122,59.24431707,60.27934146
Arab World,ARB,69.6716377,69.87929924,70.07136083,70.25569431,70.44067505,70.63137828,70.82758949,71.02843854
