Country_Name,Country_Code,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015
Iran,IRN,18241909173,22814376252,27936858166,33818448048,40992589317,38885205887,31995246270,27407992850,0
Iraq,IRQ,2765573668,4275102340,4398498957,4475213675,5227948718,9694703783,11574437810,10299956012,0
Ireland,IRL,20416402360,23738968030,22431281089,19279645584,19695421867,18692164451,19082905912,19521306420,0
Israel,ISR,13018988645,15680235503,15400499801,17135154278,19107746172,19891488612,22935903720,23754802424,0
Italy,ITA,1.87E+11,2.13E+11,2.06E+11,2.00E+11,2.11E+11,1.93E+11,1.97E+11,1.98E+11,0
Jamaica,JAM,623388401.6,740800302.9,625420212.1,700821356.3,752233734.1,836959325.9,848199390.7,740887217.2,0
Japan,JPN,3.59E+11,4.17E+11,4.79E+11,5.26E+11,5.95E+11,6.06E+11,5.04E+11,4.71E+11,0
Jordan,JOR,1427965512,1928441012,2273149402,2224389010,2418579059,2476426525,2429896866,2661724678,0
Kazakhstan,KAZ,3341697435,4867368746,4754144427,6543949164,7624164855,8774744842,9953605553,9359530206,0
Kenya,KEN,1303240169,1399763859,1542896136,1589473766,2194764500,2767786305,3058496157,3485747236,0
Kiribati,KIR,16800778.61,16515249.31,15562655.41,15824029.6,17953684.52,18154258.69,17156039.78,17031352.97,0
"Korea, Rep.",KOR,67211946085,61717176846,60033890202,74363711775,82158756396,85750470791,93963734358,1.04E+11,0
Kuwait,KWT,2445019831,2846619163,4101503587,3184988288,4030497995,4476459299,4501211425,5200988514,0
Kyrgyzstan,KGZ,261972232,310671494.7,317548834.7,318472128.6,383668287.9,461239575.9,489882275.3,476641992.9,0
Laos,LAO,174641943.8,146397426.5,210588973,187924274.7,177060570.4,199116377.3,215149495,217868317.1,0
Latvia,LVA,2020819011,2232095823,1766782717,1567480359,1716105637,1689467477,1757680408,1842328237,0
Lebanon,LBN,2188286275,2326934480,2608986234,2733423242,2855358391,3083010446,3157322421,3191682233,0
Lesotho,LSO,135271917.7,144325359.2,167637385.6,237778839.3,297459689.9,265702223.5,237809106.5,221703503,0
Liberia,LBR,75641201.98,100517382,166227723,153405861,172724948.5,176616445.4,180042944.7,203430408.7,0
Libya,LBY,1645927992,1945740946,2177011174,2470813145,1936015431,4118321706,3233668700,2326601239,0
Lithuania,LTU,2447129330,3137831609,2790789020,2602795319,2953761292,2823114922,3029793372,3129648541,0
Luxembourg,LUX,3488778842,4017345589,4010311443,3998156666,4258457427,3956569473,4285704739,4467498923,0
Macedonia,MKD,576395195.4,679582221.4,635713614.8,643936202.5,694822559.9,659099888.7,655219661.1,734616289,0
Madagascar,MDG,365971044.2,423184012.1,401896097.7,424654670,419015086,342850846.6,440212737.7,322244880.9,0
Malawi,MWI,339702982.2,457512185.6,511985002.2,542310739.3,656902716.8,511224244.5,425711227.4,484477179.3,0
Malaysia,MYS,6978688820,8012142549,8038822802,9877678311,11248410394,12233041592,12583060529,13630093495,0
Maldives,MDV,115960935.8,197049997.1,199697188.7,184947397.5,199664308.9,232254747.1,302009320.7,416433205.5,0
Mali,MLI,498213377.9,588655504.2,614010366.9,598515857.9,713318426.5,695648760.1,727923074.4,816116215.6,0
Malta,MLT,659367600.9,735009335.1,713293739.6,726112483.2,920107671.7,924320936.7,1005801645,1050004367,0
Marshall Islands,MHL,30632589.55,29730612.07,28848276.6,28429586.3,29738182.98,30682632.5,32925443.81,33071944.89,0
Mauritania,MRT,118670984.1,130068086.7,138703598.6,142250973,147016927.9,162871792.9,183824981.2,193866595.8,0
Mauritius,MUS,330471706.8,443795147.5,438875039,513634596.9,565412505.8,544206863.5,575588575.5,612025442.5,0
Mexico,MEX,61707479200,66751830630,58924830549,67136884416,70669689603,73618454325,79270244709,80570710236,0
Micronesia,FSM,30695000,33779000,37230751.42,40661509.26,42509121,41621637.58,42160400.59,43176780.79,0
Moldova,MDA,480819336,692249720.4,674441374,701444078.3,746028253.6,863653680.6,799955420.7,814152697.7,0
